idx,smiles,delta_g_kcal_mol,source
0,CC(C)C=C,-2.16,augment
1,CCOC([NH1+1])CNC=C1C=C1C(=O)C=CC=CC2(Cl)CC=C2CCC,-3.54,augment
2,CCCCC=C(C1C)[C@H1]1C[C@H1]CCCC=CC=CC=CC=O,-4.24,augment
3,C[C@H1]OC(C(=O)C(C)C=N)NC1CNC=C(COCC1CC2)CC=C2,-4.87,augment
4,O=C(CN1CC)C=C1SC(O)C(=C)C(OCC2)CCO2,-3.58,augment
5,COC=CCCCCC(S=CCC(C)[C@@H1][C@H1])N[C@@H1]=O,-3.16,augment
6,CCCC1N(CC)CCC2C(C)CC1N2C=O,-3.69,augment
7,CC(=N)C=CC(=O)C(=O)N1C=NC(C=CC=CCC=C12)C(C)=CC2,-5.33,augment
8,CC(C)[C@H1]OC1OCCC[C@@H1]1CC=CCCNCCOC=CCF,0.0,augment
9,CCCCC=NC(=O)NCCC(C)=CC=O,-4.2,augment
10,O1C(=O)OCCNC=CN(CC=O)NC1C,-3.08,augment
11,CCNN(CON)CCN1C(=O)NCCC(F)C=C1OC=CC(CC)(C)C=CC#C,-2.64,augment
12,CC=CCCN[C@H1](O)C=C1C[C@H1](C)C(C)CCC1C,0.0,augment
13,CC[C@@H1](NC)CCF,-2.23,augment
14,CC(O)C=CCCN(CC)COC1(C)CNCC1C=O,-2.62,augment
15,CC1=NC=C(ON)C=C(CC)C2C=C[C@H1](C)C=C(C2=C)SSC=C1Cl,0.0,augment
16,CCN=CC(C=CCCC1C[C@@H1]CCCCCNC=C2C)=CCC=C12,-5.29,augment
17,C[C@H1]C[C@@H1](C)NC=C(C)C=C=NF,-3.23,augment
18,CCN=CCCOC=O,-2.37,augment
19,C[C@@H1](C)NCC=CC=C(C=O)CC[C@@H1]CCCC=NNCC=C=CC=CCCO,-3.73,augment
20,C[C@H1]C(=O)CNC(=C)CCONCCCC1CC1N=O,-0.89,augment
21,C[C@@H1]CCSCC1=CCOC=C1C=O,-3.21,augment
22,O1[C@@H1](N/C(N)C=C1NC(=O)C=CO)C,-4.09,augment
23,CC=C1NCCC(=O)C(C)=CC2=CCCCC(=O)C=C1CCC2,-5.34,augment
24,CC[NH1+1]CC=CNNCCC[NH1+1]C1CCCCC(C=NC=C)(CC1CO)C=CCC,-2.9,augment
25,C#CNN1NC(=O)NCC=CCCC2CC2NC1=O,-4.3,augment
26,C1C(C)OC=C=CC=CC=C1,-3.72,augment
27,C1C[C@H1]C(N)[C@H1](C)CCC=C1N=CC=CC=CC=CCF,0.0,augment
28,CC(=O)NCCCCCCC=O,-3.38,augment
29,CCCC=C=C,-2.23,augment
30,COCCCCC(=O)C[C@@H1]C=C=CC=CCCC(F)CF,-2.42,augment
31,CCC=CC=CC1NCC(C2)C=CC=CN(C)CC=C12,-4.61,augment
32,C1CN=CC[C@H1](N)C(=O)C=CCC=C1,0.0,augment
33,C1C=CC=C(C(=O)CCC[C@H1](C)C=CCF)C=C1,0.0,augment
34,N1C([O-1])CCCO1,-3.72,augment
35,CC=N[C@@H1](Cl)C=CN(N)CCCC[C@H1]CC[C@H1](CC)C,-3.07,augment
36,CC1NC(C)NC=CC2CC(=O)C2C1C=O,-4.18,augment
37,COC=CCCCN=C[C@@H1]CC1C=CC=N1,-2.98,augment
38,CC(C1(C)OC=O)CN1CC2OC[C@@H1](O)C2C=CC,-3.41,augment
39,CC=NCN=CCCC=O,-2.86,augment
40,CC=CS1C=CCCC(=O)C=CC=CC1CC2CCC=C=C2,-5.32,augment
41,CCC=CCC1CCC=C1NC=CCCNNC(=O)OC=CCCC=O,-2.9,augment
42,O=S(CCC=C=C=CCCC1COC[C@H1]2CCC=CC23)C31C,-5.03,augment
43,CCCCC[C@@H1]CCNN=C1CCCCC1OOC=O,-3.69,augment
44,CCCCCCCNC=C1NCC[NH1+1]1O,-3.39,augment
45,O[C@@H1]C(=C)C=CC(=C)CCF,-3.29,augment
46,C1COC=C(C=CN2CCCCC(O)C3C)C=CC3C=COCCC12,-4.32,augment
