parent_name,smiles,role,similarity,chembl_id,doi,source_query
NCT-503,CC(=O)Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,parent,100.0,CHEMBL3402761,10.1038/nchembio.2070,hardcoded
BI-4924,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NCC3CCCO3)cc2)cc1,parent,100.0,,10.1021/acs.jmedchem.0c00892,hardcoded
BI-4924,Cc1ccc(NS(=O)(=O)c2ccc(C(=O)NCC3CCCO3)cc2)cc1,analog,100.0,CHEMBL1324798,10.1021/acs.jmedchem.0c00892,chembl_similarity
PKUMDL-WQ-2101,Cc1cc(C)c(Nc2nc(N)nc3[nH]ncc23)cc1C,parent,100.0,,10.1021/acs.jmedchem.8b00789,hardcoded
PKUMDL-WQ-2247,Cc1cc(C)c(Nc2nc(NC3CCCC3)nc3[nH]ncc23)cc1C,parent,100.0,,10.1021/acs.jmedchem.8b00789,hardcoded
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,parent,100.0,CHEMBL964,10.3390/molecules24142545,hardcoded
BI-4924,O=C(NCC1CCCO1)c1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1,analog,80.7692289352417,CHEMBL1733360,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,O=C(NCC1CCCO1)c1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1,analog,80.7692289352417,CHEMBL5491932,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,O=C(NCC1CCCO1)c1ccc(NS(=O)(=O)c2ccccc2)cc1,analog,80.39215803146362,CHEMBL1324302,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,Cc1ccc(NS(=O)(=O)c2cccc(C(=O)NCC3CCCO3)c2)cc1,analog,78.18182110786438,CHEMBL1722077,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,CCOc1ccc(NS(=O)(=O)c2ccc(C(=O)NCC3CCCO3)cc2)cc1,analog,76.78571343421936,CHEMBL2135368,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,CCOc1ccc(S(=O)(=O)Nc2ccc(C(=O)NCC3CCCO3)cc2)cc1,analog,76.78571343421936,CHEMBL1498157,10.1021/acs.jmedchem.0c00892,chembl_similarity
Disulfiram,CCN(CC)C(=S)SSC,analog,75.0,CHEMBL4227735,10.3390/molecules24142545,chembl_similarity
BI-4924,Cc1ccc(NS(=O)(=O)c2ccc(C(=O)OCC(=O)NCC3CCCO3)cc2)cc1,analog,74.13793206214903,CHEMBL1536622,10.1021/acs.jmedchem.0c00892,chembl_similarity
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(Cl)cc2)cc1,analog,72.972971200943,CHEMBL3310853,10.1038/nchembio.2070,chembl_similarity
BI-4924,Cc1ccccc1NS(=O)(=O)c1ccc(C(=O)NCC2CCCO2)cc1,analog,72.72727489471436,CHEMBL1563804,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,Cc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)NCC3CCCO3)cc2)cc1,analog,72.54902124404907,CHEMBL1605771,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,CS(=O)(=O)Nc1ccc(C(=O)NCC2CCCO2)cc1,analog,72.54902124404907,CHEMBL1359452,10.1021/acs.jmedchem.0c00892,chembl_similarity
BI-4924,Cc1ccc(C(=O)Nc2ccc(C(=O)NCC3CCCO3)cc2)cc1,analog,72.54902124404907,CHEMBL1873897,10.1021/acs.jmedchem.0c00892,chembl_similarity
NCT-503,CC(=O)Nc1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1,analog,72.22222089767456,CHEMBL455978,10.1038/nchembio.2070,chembl_similarity
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(Br)cc2)cc1,analog,72.22222089767456,CHEMBL4472939,10.1038/nchembio.2070,chembl_similarity
NCT-503,CC(=O)Nc1ccc(NS(=O)(=O)c2ccccc2)cc1,analog,71.42857313156128,CHEMBL1491346,10.1038/nchembio.2070,chembl_similarity
Disulfiram,CCSSC(=S)N(CC)CC,analog,71.42857313156128,CHEMBL4224759,10.3390/molecules24142545,chembl_similarity
NCT-503,CCC(=O)Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,analog,71.05262875556946,CHEMBL1997269,10.1038/nchembio.2070,chembl_similarity
NCT-503,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1)c1ccc(Cl)cc1,analog,70.96773982048035,CHEMBL254426,10.1038/nchembio.2070,chembl_similarity
NCT-503,O=S(=O)(Nc1ccc(Cl)cc1)c1ccc(Cl)cc1,analog,70.96773982048035,CHEMBL183220,10.1038/nchembio.2070,chembl_similarity
