parent_name,smiles,role,delta_g_kcal_mol,similarity,chembl_id,doi,source,reconstruction_mse
NCT-503,CC(=O)Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,parent,-4.6,100.0,CHEMBL3402761,10.1038/nchembio.2070,anchor,7.638084609240536e-11
BI-4924,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NCC3CCCO3)cc2)cc1,parent,-4.85,100.0,,10.1021/acs.jmedchem.0c00892,anchor,2.136639060124068e-10
BI-4924,Cc1ccc(NS(=O)(=O)c2ccc(C(=O)NCC3CCCO3)cc2)cc1,analog,-4.93,100.0,CHEMBL1324798,10.1021/acs.jmedchem.0c00892,anchor,1.9009489815591252e-10
PKUMDL-WQ-2101,Cc1cc(C)c(Nc2nc(N)nc3[nH]ncc23)cc1C,parent,-4.53,100.0,,10.1021/acs.jmedchem.8b00789,anchor,1.0928999927273253e-09
PKUMDL-WQ-2247,Cc1cc(C)c(Nc2nc(NC3CCCC3)nc3[nH]ncc23)cc1C,parent,-4.87,100.0,,10.1021/acs.jmedchem.8b00789,anchor,8.874581625128997e-10
Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,parent,-2.51,100.0,CHEMBL964,10.3390/molecules24142545,anchor,6.148734854605209e-10
BI-4924,O=C(NCC1CCCO1)c1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1,analog,-4.64,80.7692289352417,CHEMBL1733360,10.1021/acs.jmedchem.0c00892,anchor,2.2644540409455516e-10
BI-4924,O=C(NCC1CCCO1)c1ccc(NS(=O)(=O)c2ccc(F)cc2)cc1,analog,-4.77,80.7692289352417,CHEMBL5491932,10.1021/acs.jmedchem.0c00892,anchor,1.588445208700051e-10
BI-4924,O=C(NCC1CCCO1)c1ccc(NS(=O)(=O)c2ccccc2)cc1,analog,-4.61,80.39215803146362,CHEMBL1324302,10.1021/acs.jmedchem.0c00892,anchor,1.567476703989712e-10
BI-4924,Cc1ccc(NS(=O)(=O)c2cccc(C(=O)NCC3CCCO3)c2)cc1,analog,-4.98,78.18182110786438,CHEMBL1722077,10.1021/acs.jmedchem.0c00892,anchor,2.5940902204091287e-10
BI-4924,CCOc1ccc(NS(=O)(=O)c2ccc(C(=O)NCC3CCCO3)cc2)cc1,analog,-4.59,76.78571343421936,CHEMBL2135368,10.1021/acs.jmedchem.0c00892,anchor,2.067003374017773e-10
BI-4924,CCOc1ccc(S(=O)(=O)Nc2ccc(C(=O)NCC3CCCO3)cc2)cc1,analog,-4.81,76.78571343421936,CHEMBL1498157,10.1021/acs.jmedchem.0c00892,anchor,2.4387067365516657e-10
Disulfiram,CCN(CC)C(=S)SSC,analog,-2.2,75.0,CHEMBL4227735,10.3390/molecules24142545,anchor,1.538946609036529e-10
BI-4924,Cc1ccc(NS(=O)(=O)c2ccc(C(=O)OCC(=O)NCC3CCCO3)cc2)cc1,analog,-4.17,74.13793206214903,CHEMBL1536622,10.1021/acs.jmedchem.0c00892,anchor,0.00014697702135890722
NCT-503,CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(Cl)cc2)cc1,analog,-4.95,72.972971200943,CHEMBL3310853,10.1038/nchembio.2070,anchor,7.389769351995312e-11
BI-4924,Cc1ccccc1NS(=O)(=O)c1ccc(C(=O)NCC2CCCO2)cc1,analog,-4.95,72.72727489471436,CHEMBL1563804,10.1021/acs.jmedchem.0c00892,anchor,1.0677807943393347e-10
BI-4924,Cc1ccc(S(=O)(=O)Nc2ccc(S(=O)(=O)NCC3CCCO3)cc2)cc1,analog,-5.18,72.54902124404907,CHEMBL1605771,10.1021/acs.jmedchem.0c00892,anchor,2.7880298070215304e-10
BI-4924,CS(=O)(=O)Nc1ccc(C(=O)NCC2CCCO2)cc1,analog,-4.63,72.54902124404907,CHEMBL1359452,10.1021/acs.jmedchem.0c00892,anchor,9.424266228519329e-11
