ligand_idx,smiles,delta_g_kcal_mol,mw,rot_bonds,hbd,hba,qed,sa,n_rings,max_poly_run,max_alkyne_run,pains_flag,brenk_flag,source
1,O=C([C][C]1[C][C]=[C][C]=[C]1)N[C]C1=[C][C]=[C][C]1,0.0,199.168,4,1,1,0.6439,7.4324,2,2,0,0,1,recovered_735
100,[C][C]([C])[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]N[C][C][C]c1[c][c][c][c][c]1,0.0,255.235,10,1,1,0.376,7.7776,1,3,0,0,1,recovered_735
101,[C][C]([C])/[C]=C([C])/[C]=[C]/[C]([C])c1[c][c][c][c]c1[C]=O,0.0,220.186,5,0,1,0.6787,7.5924,1,2,0,0,1,recovered_735
102,[C][C][C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]([C])/[C]=C1\[C]=[C][C]=[C][C@]1([C])O[C][C],0.0,292.252,9,0,1,0.5865,6.6268,1,4,0,0,1,recovered_735
103,[C]C#C[C]/[C]=[C]/[C][C]/C([C])=[C]/[C]=[C],0.0,156.143,5,0,0,0.4107,7.3298,0,2,1,0,1,recovered_735
104,O=[C][C]1[C][C]C2=C1[C][C]=[C]2,0.0,124.098,1,0,1,0.4942,7.3057,2,2,0,0,0,recovered_735
105,[C][C]1[C][C]/C(=[C]/[C]C2([C])[C]=[C][C]=[C]2)[C]1[C]=[C],0.0,192.176,3,0,0,0.6318,7.8856,2,2,0,0,0,recovered_735
106,[C][C][C][C][C]C1=NN=N[C]1/[C]=[C]/[C]N[C]([C])[C]c1[c][c][c][c][c]1,0.0,285.245,10,1,4,0.511,7.3717,2,1,0,0,1,recovered_735
107,[C][C][C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C][C][C]1[C][C]OC([C])([C])S1,0.0,276.275,8,0,2,0.6256,7.5973,1,4,0,0,1,recovered_735
108,[C][C][C][C][C]N[C][C][C][C][C@]1(N)[C]=[C][C]2[C][C]=[C][C]C2=[C]1,0.0,259.247,9,2,2,0.4599,5.6489,2,1,0,0,1,recovered_735
109,[C][C][C]/[C]=[C]/[C]=[C]/[C]1[C]([C])[C][C]2[C]1[C][C](O[C])[C]=C2[C]Cl,0.0,279.661,6,0,1,0.6778,7.4931,2,2,0,0,1,recovered_735
11,[C]#[C].[C][C]/[C]=[C]\[C][C]/[C]=[C]/[C][C],0.0,144.132,5,0,0,0.3982,7.4674,0,1,1,0,1,recovered_735
110,[C][C][C]/[C]=[C]/c1[c][c]c2[c][c][c]c([C])c2[c]1,0.0,192.176,3,0,0,0.6957,7.8054,2,1,0,0,0,recovered_735
111,[C]/[C]=[C]/[C]c1[c][c][c][c]c1[C],0.0,132.121,2,0,0,0.5628,7.7756,1,1,0,0,0,recovered_735
113,[C][C][C]/[C]=[C]/c1[c][c][nH][c]1,0.0,123.114,3,1,0,0.6078,7.5948,1,1,0,0,0,recovered_735
114,[C]/[C]=[C]/[C][C]/[C]=[C]/[C][C][C][C]1[C]=[C][C]=[C]1,0.0,180.165,7,0,0,0.5166,7.6181,1,2,0,0,1,recovered_735
115,[C][C][C]1[C]([C]=[C])[C][C][C]/C1=[C]/C([C])=O,0.0,172.142,3,0,1,0.5701,7.2547,1,1,0,0,1,recovered_735
116,[C][C][C][C]C1=C([C]Cl)[C]=[C][C]1,0.0,155.563,4,0,0,0.5793,7.3201,1,2,0,0,0,recovered_735
117,[C][C]/[C]=[C]/[C]=[C]/[C]/[C]=[C]/[C]=[C]/[C]c1[c][c]c([C]/[C]=[C]/[C]=[C]/[C])n[c]1,0.0,290.26,10,0,1,0.5972,7.7308,1,2,0,0,1,recovered_735
118,[C][C]/[C]=[C]/[C]=[C]/[C]=[C]/c1[c][c][c]c2c1=[C][C]N[C]=2,0.0,219.202,4,1,1,0.6736,7.7589,2,3,0,0,1,recovered_735
119,[C][C]/[C]=[C]/[C]=[C]/[C][C][C][C]1[C][C]=C2[C]([C])[C][C][C]N12,0.0,230.205,6,0,1,0.4896,7.7452,2,2,0,0,1,recovered_735
12,[C]=[C]/[C]=[C]/[C]=[C]/c1[c][c][c]n[c]1,0.0,146.128,3,0,1,0.5696,7.6615,1,3,0,0,1,recovered_735
120,[C][C]/[C]=[C]/c1[c]n[c]c2c1[C][C][C]2,0.0,158.139,2,0,1,0.6204,7.6319,2,1,0,0,0,recovered_735
121,[C][C][C][C][C]([C])[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C][C]1[C][C]1[C]1[C][C]1,0.0,264.242,11,0,0,0.4991,7.6209,2,4,0,0,1,recovered_735
122,[C][C][C][C]([C])/[C]=[C]/[C]=C1/[C][C][C][C][C]1[C]C([C])=O,0.0,220.186,6,0,1,0.6508,7.4681,1,2,0,0,0,recovered_735
123,[C][C]/[C]=[C]/[C]/[C]=C1\[C][C]([C]Cl)/C(=[C]/[C])[C]1,0.0,203.607,4,0,0,0.6556,7.3579,1,1,0,0,0,recovered_735
124,[C][C]/[C]=C1\[C][C]([C])[C][C]1[C],0.0,120.11,1,0,0,0.4817,7.6065,1,1,0,0,0,recovered_735
125,[C]/[C]=[C]/[C]=[C]/Cl,0.0,95.508,1,0,0,0.428,6.8972,0,2,0,0,1,recovered_735
126,[C]/[C]=[C]/[C]=C(\[C]/[C]=[C]/[C][C][C]F)[C]1[C]N2[N][C]1[C]C2=O,0.0,255.187,7,0,1,0.4811,7.755,2,2,0,0,1,recovered_735
127,[C][C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=C1/[C]=[C][C]=[C]N1,0.0,183.169,4,1,1,0.633,7.6329,1,6,0,0,1,recovered_735
128,[C][C][C][C]/[C]=[C]/[C][C]1[C]=[C][C]=[C]1,0.0,144.132,5,0,0,0.5043,7.6255,1,2,0,0,1,recovered_735
129,[C]/[C]=[C]/[C]=[C]/Cl,0.0,95.508,1,0,0,0.428,6.8972,0,2,0,0,1,recovered_735
13,[C][C][C][C]([C])/[C]=[C]\[C]1[N][C][C]2[C]([C])[C]=[C][C]=C12,0.0,206.183,4,0,0,0.6484,7.6364,2,2,0,0,0,recovered_735
130,[C][C][C@@]1([C])C([C])([C])[C]NC1([C])[C],0.0,147.136,1,1,1,0.548,6.8476,1,0,0,0,0,recovered_735
