smiles,delta_g_kcal_mol,source,role,parent_name,canonical_smiles
C1CCC=C1Br,-3.02,augment,,,BrC1=CCCC1
C#CC,-1.67,augment,,,C#CC
C#CC(=C)C=C1CNN(O)CNC(=O)NC=CC=C1F,-4.19,augment,,,C#CC(=C)C=C1CNN(O)CNC(=O)NC=CC=C1F
O=C(C)C=C(C(C)CCCNF)C#C,-3.47,augment,,,C#CC(=CC(C)=O)C(C)CCCNF
C=[N+1]([O-1])C=CC=C1C=C2C=C2N1C=C(C(O)CC=O)C#C,-3.62,augment,,,C#CC(=Cn1c(=CC=C[N+](=C)[O-])cc2c1=C2)C(O)CC=O
CC1=NC(CC1)NC(=O)C(C)C(=O)C(C)(O)C#C,-3.79,augment,,,C#CC(C)(O)C(=O)C(C)C(=O)NC1CCC(C)=N1
CC=1N(Cl)CNN(CC2=O)N(CC=1)ON=C2CCC=C(C)C#C,-4.52,augment,,,C#CC(C)=CCCC1=NON2CC=C(C)N(Cl)CNN2CC1=O
COC=NC[NH1+1](C1N=CSCCCC=[C@@H1]C=CC1)C(C)C#C,-4.18,augment,,,C#CC(C)[NH+](CN=COC)C1CC=CC=CCCCSC=N1
C#CC(C=CC=CC(O)NNC)CNC#CC=O,-3.09,augment,,,C#CC(C=CC=CC(O)NNC)CNC#CC=O
CC=CCC(NCCC=O)C#C,-2.95,augment,,,C#CC(CC=CC)NCCC=O
O=COCC=NC(C)C=CC=CN=C(Cl)C#C,-3.39,augment,,,C#CC(Cl)=NC=CC=CC(C)N=CCOC=O
CNC(=C)C=CCCCCC=NC(Cl)C#C,-2.62,augment,,,C#CC(Cl)N=CCCCCC=CC(=C)NC
O=C(C)C=CC=C(F)C#C,-3.7,augment,,,C#CC(F)=CC=CC(C)=O
CC1C(C)C=C1NC2C=C2CCOCON=CCC=CC=C(F)C#C,-3.44,augment,,,C#CC(F)=CC=CCC=NOCOCCC1=CC1NC1=CC(C)C1C
CC(=O)CSC=CNC(NC=CC=CCCCC(=O)NCCC)C#C,-2.55,augment,,,C#CC(NC=CC=CCCCC(=O)NCCC)NC=CSCC(C)=O
CCC(C1CCC=O)=C1C#C,-3.12,augment,,,C#CC1=C(CC)C1CCC=O
C1CCCN=C(CC2=C(N=CCCSC2(C)C)C#C)NC=C1,-4.57,augment,,,C#CC1=C(CC2=NCCCCC=CN2)C(C)(C)SCCC=N1
CCNC=CC=CSC=CC=NOC(C=1)=CC=CCC=1C#C,-4.63,augment,,,C#CC1=CC(ON=CC=CSC=CC=CNCC)=CC=CC1
C1[C@H1]2CSCC1([C@@H1](C)NC(CC3)O3)C=C2C#C,-4.23,augment,,,C#CC1=CC2([C@@H](C)NC3CCO3)CSC[C@@H]1C2
C1OC(=C)C(C=CC2=CCC1(C3)C2CO)C=C3C#C,-4.89,augment,,,C#CC1=CC2C=CC3=CCC(COC2=C)(C1)C3CO
CCN(CC)C(=O)C1=CC(CCNC)SCCNCC=C1C#C,-3.83,augment,,,C#CC1=CCNCCSC(CCNC)C=C1C(=O)N(CC)CC
C12C=CN1CC=CC(C2CC(C)=O)C#C,-4.12,augment,,,C#CC1C=CCN2C=CC2C1CC(C)=O
CCOC=CC=C=CCOC(C)CN=CCCCC1CC1C#C,-3.4,augment,,,C#CC1CC1CCCC=NCC(C)OCC=C=CC=COCC
C#CC1CCC=C1SN2CC=CC=CC=CCC2,-4.26,augment,,,C#CC1CCC=C1SN1CC=CC=CC=CCC1
O=C(NNC=CC(C)CC(O)C=C1)CCOC=C1C=CCCC=C=CC#C,-4.27,augment,,,C#CC=C=CCCC=CC1=COCCC(=O)NNC=CC(C)CC(O)C=C1
O=CCC=CN=CCCNC(N)CC=NCC=C=CC#C,-2.89,augment,,,C#CC=C=CCN=CCC(N)NCCC=NC=CCC=O
