source,rank,name,smiles,dg_ss,kd_ss_uM,dg_mean_n50,dg_std_n50,dg_min_n50,n_seeds,tengen_score,mw,rot,hbd,hba,qed,sa,n_arom,dlg_n50
limo,1,limo_1,C1[C@@H1]CCC2[C@H1]1OC(C)=C2C=3CCC4=CC=CC=C4C=3,-5.07,192.16054008650892,-4.9796,0.10603697468336218,-5.09,50,,265.3759999999999,1,0,1,0.7152528505408031,4.0923793840645555,1,/Users/yifeiding/projects/school/BENG203/limo/limo/outs_nrun50/ligand2.dlg
limo,2,limo_2,C1CCC=CC=C1CCC=CC=C2CC=CC3=CC=CC=C23,-5.4,110.09625137429701,-5.0676,0.266439936946397,-5.48,50,,288.434,4,0,0,0.5936918069706973,3.2312310494944496,1,/Users/yifeiding/projects/school/BENG203/limo/limo/outs_nrun50/ligand0.dlg
limo,3,limo_3,O=C(C)CCC=CC1=CC=C/C=C1C/C=CC2=C/C=CC3=C2CCCC=C3F,-5.04,202.14097833122628,,,,,,374.4990000000002,7,0,1,0.5111923395864638,3.0201562626113816,2,
limo,4,limo_4,CC=CC1=CC(C)C(C)CC1CCC(C)NC2=CC=C(C)C=C2Cl,-5.14,170.74730379216908,-4.0496,0.5853032034766255,-5.12,50,,345.9580000000001,6,1,1,0.5834241356881531,4.15939896383989,1,/Users/yifeiding/projects/school/BENG203/limo/limo/outs_nrun50/ligand1.dlg
limo,5,limo_5,CC=CC=C(/C=C1/CC)C=C1CC=C2C=CC=CC2=C,-4.94,239.30670770907494,,,,,,262.396,4,0,0,0.7677736784369755,3.8115967670513573,1,
limo,6,limo_6,O=C(C)CC=CC1=CC=CC=CC1CC2=CC3=CC=C2CCC3CC,-4.86,273.90204758670467,,,,,,332.48700000000014,6,0,1,0.6361929702930296,4.923310095400323,1,
limo,7,limo_7,OC(C)(C1=CC=CC2=CC3=CC=C2OC=C3)C=CC=C1CC,-4.48,520.1603109978943,,,,,,292.37800000000004,3,1,2,0.8786117326874273,5.0754206928827905,1,
limo,8,limo_8,CC(C1)C2=C(C=CN=C2C3=CC=CC=C3C)CC=C1Cl,-4.65,390.4148668525547,,,,,,283.802,1,0,1,0.6982303758505766,3.207860971573955,2,
limo,9,limo_9,O=C(C)C1=C(CC)C(=C)C2=CC=CC=C2C=C1,-4.67,377.4559235932859,,,,,,224.30300000000003,2,0,1,0.7410799129781805,2.926512081022226,1,
limo,10,limo_10,C=[C@H1]C1=C[C@@H1]NC=C1C=CC2=CC=CC(=C2)C(C)C,-4.77,318.83481412823744,,,,,,250.365,4,1,1,0.8241182510505722,3.4583079178834923,1,
tengen,1,tengen_1,CCc1sc2nc(=N)[nH]c(O)c2c1Sc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-3.82,1584.6033473345872,,,,,-0.160808,476.53600000000023,9,6,8,0.2728336066576376,3.540907820308303,3,
tengen,2,tengen_2,Cc1cc2nc3c(O)nc(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,0.0,,,,,,-0.173154,376.36900000000014,5,5,9,0.34028620053008424,3.991682999356401,1,
tengen,3,tengen_3,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CO)C(C)(C)C)cc1,-4.32,681.4249416824742,-3.2858,0.5888228596105963,-4.49,50,-0.187016,488.61000000000024,7,4,7,0.4634340817142624,3.67865026155702,2,/Users/yifeiding/projects/school/BENG203/limo/limo/outs_nrun50/ligand5.dlg
tengen,4,tengen_4,N=c1nc(O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,-3.73,1844.552525860451,,,,,-0.187629,427.4170000000001,9,7,6,0.26359109356566873,3.327845593841973,3,
tengen,5,tengen_5,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,-5.97,42.06875240266475,-4.84,0.4621385073763059,-5.95,50,-0.187997,465.9590000000002,5,1,5,0.723474000926691,3.1984211968747145,2,/Users/yifeiding/projects/school/BENG203/limo/limo/outs_nrun50/ligand3.dlg
tengen,6,tengen_6,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,-4.77,318.83481412823744,-3.9128,0.42271522328868166,-4.74,50,-0.189752,334.39700000000005,4,2,4,0.7977632704521287,3.200273387340024,1,/Users/yifeiding/projects/school/BENG203/limo/limo/outs_nrun50/ligand4.dlg
tengen,7,tengen_7,N=c1nc(O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,-3.62,2220.862067239338,,,,,-0.192235,441.40400000000017,9,7,9,0.23925173716128575,3.29567846932221,3,
tengen,8,tengen_8,CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-3.35,3502.942106337493,,,,,-0.193055,454.44700000000023,9,6,9,0.2564381260884743,3.4249654180926274,3,
tengen,9,tengen_9,C[C@@H](O)[C@H](NC(=O)c1ccc(C#CC#Cc2ccc(N)cc2)cc1)C(=O)NO,0.0,,,,,,-0.193612,377.40000000000003,4,5,5,0.23166319915327593,3.3052991044520184,2,
tengen,10,tengen_10,CN(Cc1cnc2nc(=N)[nH]c(O)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-3.92,1338.5051926189783,,,,,-0.194606,455.43100000000027,9,6,9,0.2586891816986697,3.47036863026507,3,
control,1,NCT-503,CC(=O)Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,-4.59,432.02278505129874,-4.5188,0.10193409635642041,-4.59,50,,324.789,4,2,3,0.9070277811016964,1.5926099334295163,2,/Users/yifeiding/projects/school/BENG203/limo/limo/outs_nrun50/ligand6.dlg
prior_control,0,NCT-503_priors,CC(=O)Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,-4.6,424.7922662651405,,,,,,324.789,4,2,3,0.9070277811016964,1.5926099334295163,2,
prior_control,0,BI-4924_priors,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)NCC3CCCO3)cc2)cc1,-4.85,278.56421791776006,,,,,,374.46200000000016,6,2,4,0.814177731325721,2.314897009447469,2,
prior_control,0,PKUMDL-WQ-2101_priors,Cc1cc(C)c(Nc2nc(N)nc3[nH]ncc23)cc1C,-4.53,478.06500891772896,,,,,,268.324,2,3,5,0.6640188639487243,2.5027457404463824,3,
prior_control,0,PKUMDL-WQ-2247_priors,Cc1cc(C)c(Nc2nc(NC3CCCC3)nc3[nH]ncc23)cc1C,-4.87,269.31790533965227,,,,,,336.44300000000004,4,3,5,0.6589257625933884,2.533483928484335,3,
prior_control,0,Disulfiram_priors,CCN(CC)C(=S)SSC(=S)N(CC)CC,-2.51,14459.631742869711,,,,,,296.5520000000001,4,0,4,0.5731348904238733,3.1203704533703096,0,
