seq,source,rank,name,smiles,delta_g_kcal_mol,kd_uM
0,limo,1,limo_1,C1[C@@H1]CCC2[C@H1]1OC(C)=C2C=3CCC4=CC=CC=C4C=3,-5.07,192.16054008650892
1,limo,2,limo_2,C1CCC=CC=C1CCC=CC=C2CC=CC3=CC=CC=C23,-5.4,110.09625137429701
2,limo,3,limo_3,O=C(C)CCC=CC1=CC=C/C=C1C/C=CC2=C/C=CC3=C2CCCC=C3F,-5.04,202.14097833122628
3,limo,4,limo_4,CC=CC1=CC(C)C(C)CC1CCC(C)NC2=CC=C(C)C=C2Cl,-5.14,170.74730379216908
4,limo,5,limo_5,CC=CC=C(/C=C1/CC)C=C1CC=C2C=CC=CC2=C,-4.94,239.30670770907494
5,limo,6,limo_6,O=C(C)CC=CC1=CC=CC=CC1CC2=CC3=CC=C2CCC3CC,-4.86,273.90204758670467
6,limo,7,limo_7,OC(C)(C1=CC=CC2=CC3=CC=C2OC=C3)C=CC=C1CC,-4.48,520.1603109978943
7,limo,8,limo_8,CC(C1)C2=C(C=CN=C2C3=CC=CC=C3C)CC=C1Cl,-4.65,390.4148668525547
8,limo,9,limo_9,O=C(C)C1=C(CC)C(=C)C2=CC=CC=C2C=C1,-4.67,377.4559235932859
9,limo,10,limo_10,C=[C@H1]C1=C[C@@H1]NC=C1C=CC2=CC=CC(=C2)C(C)C,-4.77,318.83481412823744
10,tengen,1,tengen_1,CCc1sc2nc(=N)[nH]c(O)c2c1Sc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-3.82,1584.6033473345872
11,tengen,2,tengen_2,Cc1cc2nc3c(O)nc(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,0.0,
12,tengen,3,tengen_3,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CO)C(C)(C)C)cc1,-4.32,681.4249416824742
13,tengen,4,tengen_4,N=c1nc(O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,-3.73,1844.552525860451
14,tengen,5,tengen_5,C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,-5.97,42.06875240266475
15,tengen,6,tengen_6,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,-4.77,318.83481412823744
16,tengen,7,tengen_7,N=c1nc(O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,-3.62,2220.862067239338
17,tengen,8,tengen_8,CN(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-3.35,3502.942106337493
18,tengen,9,tengen_9,C[C@@H](O)[C@H](NC(=O)c1ccc(C#CC#Cc2ccc(N)cc2)cc1)C(=O)NO,0.0,
19,tengen,10,tengen_10,CN(Cc1cnc2nc(=N)[nH]c(O)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,-3.92,1338.5051926189783
20,control,1,NCT-503,CC(=O)Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)cc1,-4.59,432.02278505129874
